node1	node2
b0723	b2210	
b0723	b3236	
b0723	b4122	
b0724	b0726	
b0724	b0727	
b0724	b0728	
b0724	b0729	
b0724	b0733	
b0724	b0734	
b0724	b0978	
b0724	b0979	
b0724	b1136	
b0724	b1276	
b0724	b1611	
b0724	b1612	
b0724	b2210	
b0724	b3236	
b0724	b4122	
b0726	b0727	
b0726	b0728	
b0726	b0729	
b0726	b1136	
b0726	b1276	
b0726	b1611	
b0726	b1612	
b0726	b2210	
b0726	b3236	
b0726	b4122	
b0727	b0728	
b0727	b0729	
b0727	b1094	
b0727	b1136	
b0727	b1276	
b0727	b1611	
b0727	b1612	
b0727	b2210	
b0727	b2904	
b0727	b3236	
b0727	b4122	
b0727	b4386	
b0728	b0729	
b0728	b1136	
b0728	b1276	
b0728	b1611	
b0728	b1612	
b0728	b2210	
b0728	b3236	
b0728	b4122	
b0729	b1136	
b0729	b1276	
b0729	b1611	
b0729	b1612	
b0729	b2210	
b0729	b3236	
b0729	b4122	
b0732	b3124	
b0733	b0734	
b0733	b0978	
b0733	b0979	
b0733	b2276	
b0733	b2277	
b0733	b2278	
b0733	b2279	
b0733	b2280	
b0733	b2281	
b0733	b2282	
b0733	b2283	
b0733	b2284	
b0733	b2285	
b0733	b2286	
b0733	b2287	
b0733	b2288	
b0734	b0978	
b0734	b0979	
b0734	b2276	
b0734	b2277	
b0734	b2278	
b0734	b2279	
b0734	b2280	
b0734	b2281	
b0734	b2282	
b0734	b2283	
b0734	b2284	
b0734	b2285	
b0734	b2286	
b0734	b2287	
b0734	b2288	
b0736	b2260	
b0736	b2261	
b0736	b2262	
b0736	b2263	
b0736	b2264	
b0736	b2265	
b0750	b1740	
b0750	b2574	
b0754	b0908	
b0754	b1692	
b0754	b1693	
b0754	b1704	
b0754	b2329	
b0754	b2601	
b0754	b3281	
b0754	b3389	
b0754	b3390	
b0755	b0766	
b0755	b1479	
b0755	b1676	
b0755	b1702	
b0755	b1723	
b0755	b1779	
b0755	b1854	
b0755	b2097	
b0755	b2463	
b0755	b2779	
b0755	b2925	
b0755	b2926	
b0755	b2930	
b0755	b3236	
b0755	b3403	
b0755	b3612	
b0755	b3916	
b0755	b3919	
b0755	b3925	
b0755	b4025	
b0755	b4232	
b0756	b0757	
b0756	b0758	
b0756	b0759	
b0756	b1236	
b0757	b0758	
b0757	b0759	
b0757	b1236	
b0757	b1613	
b0757	b2028	
b0757	b2048	
b0757	b2049	
b0757	b2052	
b0757	b2053	
b0757	b4025	
b0758	b0759	
b0758	b1236	
b0758	b1613	
b0758	b2028	
b0758	b2048	
b0758	b2049	
b0758	b2052	
b0758	b2053	
b0758	b4025	
b0759	b1236	
b0759	b1613	
b0759	b2028	
b0759	b2048	
b0759	b2049	
b0759	b2052	
b0759	b2053	
b0759	b4025	
b0766	b1479	
b0766	b1676	
b0766	b1702	
b0766	b1723	
b0766	b1779	
b0766	b1854	
b0766	b2097	
b0766	b2463	
b0766	b2779	
b0766	b2925	
b0766	b2926	
b0766	b2930	
b0766	b3236	
b0766	b3403	
b0766	b3612	
b0766	b3916	
b0766	b3919	
b0766	b3925	
b0766	b4025	
b0766	b4232	
b0767	b1852	
b0767	b2029	
b0767	b2464	
b0767	b2465	
b0767	b2914	
b0767	b2935	
