"node1","node2","Uni_N1","Uni_N2"
"eco:b0104","eco:b0369","P60560","P0ACB2"
"eco:b0124","eco:b0369","P15877","P0ACB2"
"eco:b0004","eco:b0369","P00934","P0ACB2"
"eco:b0068","eco:b0369","P31550","P0ACB2"
"eco:b0121","eco:b0369","P09158","P0ACB2"
"eco:b0031","eco:b0369","P04036","P0ACB2"
"eco:b0091","eco:b0369","P17952","P0ACB2"
"eco:b0166","eco:b0369","P0A9D8","P0ACB2"
"eco:b0071","eco:b0369","P30126","P0ACB2"
"eco:b0133","eco:b0369","P31663","P0ACB2"
"eco:b0160","eco:b0369","P15723","P0ACB2"
"eco:b0078","eco:b0369","P00894","P0ACB2"
"eco:b0072","eco:b0369","P0A6A6","P0ACB2"
"eco:b0003","eco:b0369","P00547","P0ACB2"
"eco:b0175","eco:b0369","P0ABG1","P0ACB2"
"eco:b0131","eco:b0369","P0A790","P0ACB2"
"eco:b0182","eco:b0369","P10441","P0ACB2"
"eco:b0088","eco:b0369","P14900","P0ACB2"
"eco:b0149","eco:b0369","P02919","P0ACB2"
"eco:b0109","eco:b0369","P30011","P0ACB2"
