"node1"	"node2"	"genename_N1"
"b3951"	"accoa"	"PFL"
"b3952"	"accoa"	"PFL"
"b0902"	"coa"	"PFL"
"b0903"	"coa"	"PFL"
"b2579"	"coa"	"PFL"
"b3114"	"coa"	"PFL"
"b3951"	"coa"	"PFL"
"b3952"	"coa"	"PFL"
"b0902"	"for"	"PFL"
"b0903"	"for"	"PFL"
"b2579"	"for"	"PFL"
"b3114"	"for"	"PFL"
"b3951"	"for"	"PFL"
"b3952"	"for"	"PFL"
"b0902"	"pyr"	"PFL"
"b0903"	"pyr"	"PFL"
"b2579"	"pyr"	"PFL"
"b3114"	"pyr"	"PFL"
"b3951"	"pyr"	"PFL"
"b3952"	"pyr"	"PFL"
"b4025"	"f6p"	"PGI"
"b4025"	"g6p"	"PGI"
"b2926"	"13dpg"	"PGK"
"b2926"	"3pg"	"PGK"
"b2926"	"adp"	"PGK"
"b2926"	"atp"	"PGK"
"b0767"	"6pgc"	"PGL"
"b0767"	"6pgl"	"PGL"
"b0767"	"h2o"	"PGL"
"b0767"	"h"	"PGL"
"b0755"	"2pg"	"PGM"
"b3612"	"2pg"	"PGM"
"b4395"	"2pg"	"PGM"
"b0755"	"3pg"	"PGM"
"b3612"	"3pg"	"PGM"
"b4395"	"3pg"	"PGM"
"b2987"	"h"	"PIt2r"
"b3493"	"h"	"PIt2r"
"b2987"	"h(e)"	"PIt2r"
"b3493"	"h(e)"	"PIt2r"
"b2987"	"pi"	"PIt2r"
"b3493"	"pi"	"PIt2r"
"b2987"	"pi(e)"	"PIt2r"
"b3493"	"pi(e)"	"PIt2r"
"b3956"	"co2"	"PPC"
"b3956"	"h2o"	"PPC"
"b3956"	"h"	"PPC"
"b3956"	"oaa"	"PPC"
"b3956"	"pep"	"PPC"
"b3956"	"pi"	"PPC"
"b3403"	"adp"	"PPCK"
"b3403"	"atp"	"PPCK"
"b3403"	"co2"	"PPCK"
"b3403"	"oaa"	"PPCK"
"b3403"	"pep"	"PPCK"
"b1702"	"amp"	"PPS"
"b1702"	"atp"	"PPS"
"b1702"	"h2o"	"PPS"
"b1702"	"h"	"PPS"
"b1702"	"pep"	"PPS"
"b1702"	"pi"	"PPS"
"b1702"	"pyr"	"PPS"
"b2297"	"accoa"	"PTAr"
"b2458"	"accoa"	"PTAr"
"b2297"	"actp"	"PTAr"
"b2458"	"actp"	"PTAr"
"b2297"	"coa"	"PTAr"
"b2458"	"coa"	"PTAr"
"b2297"	"pi"	"PTAr"
"b2458"	"pi"	"PTAr"
"b1676"	"adp"	"PYK"
"b1854"	"adp"	"PYK"
"b1676"	"atp"	"PYK"
"b1854"	"atp"	"PYK"
"b1676"	"h"	"PYK"
"b1854"	"h"	"PYK"
"b1676"	"pep"	"PYK"
"b1854"	"pep"	"PYK"
"b1676"	"pyr"	"PYK"
"b1854"	"pyr"	"PYK"
""	"h"	"PYRt2r"
""	"h(e)"	"PYRt2r"
""	"pyr"	"PYRt2r"
""	"pyr(e)"	"PYRt2r"
"b3386"	"ru5p-D"	"RPE"
"b4301"	"ru5p-D"	"RPE"
"b3386"	"xu5p-D"	"RPE"
"b4301"	"xu5p-D"	"RPE"
"b2914"	"r5p"	"RPI"
"b4090"	"r5p"	"RPI"
"b2914"	"ru5p-D"	"RPI"
"b4090"	"ru5p-D"	"RPI"
"b3528"	"h"	"SUCCt2_2"
"b3528"	"h(e)"	"SUCCt2_2"
"b3528"	"succ"	"SUCCt2_2"
"b3528"	"succ(e)"	"SUCCt2_2"
""	"h"	"SUCCt3"
""	"h(e)"	"SUCCt3"
""	"succ"	"SUCCt3"
""	"succ(e)"	"SUCCt3"
"b0721"	"fum"	"SUCDi"
"b0722"	"fum"	"SUCDi"
"b0723"	"fum"	"SUCDi"
"b0724"	"fum"	"SUCDi"
"b0721"	"q8"	"SUCDi"
"b0722"	"q8"	"SUCDi"
"b0723"	"q8"	"SUCDi"
"b0724"	"q8"	"SUCDi"
"b0721"	"q8h2"	"SUCDi"
"b0722"	"q8h2"	"SUCDi"
"b0723"	"q8h2"	"SUCDi"
"b0724"	"q8h2"	"SUCDi"
"b0721"	"succ"	"SUCDi"
"b0722"	"succ"	"SUCDi"
"b0723"	"succ"	"SUCDi"
"b0724"	"succ"	"SUCDi"
"b0728"	"adp"	"SUCOAS"
"b0729"	"adp"	"SUCOAS"
"b0728"	"atp"	"SUCOAS"
"b0729"	"atp"	"SUCOAS"
"b0728"	"coa"	"SUCOAS"
"b0729"	"coa"	"SUCOAS"
"b0728"	"pi"	"SUCOAS"
"b0729"	"pi"	"SUCOAS"
"b0728"	"succ"	"SUCOAS"
"b0729"	"succ"	"SUCOAS"
"b0728"	"succoa"	"SUCOAS"
"b0729"	"succoa"	"SUCOAS"
"b0008"	"e4p"	"TALA"
"b2464"	"e4p"	"TALA"
"b0008"	"f6p"	"TALA"
"b2464"	"f6p"	"TALA"
"b0008"	"g3p"	"TALA"
"b2464"	"g3p"	"TALA"
"b0008"	"s7p"	"TALA"
"b2464"	"s7p"	"TALA"
"b1602"	"h"	"THD2"
"b1603"	"h"	"THD2"
"b1602"	"h(e)"	"THD2"
"b1603"	"h(e)"	"THD2"
"b1602"	"nad"	"THD2"
"b1603"	"nad"	"THD2"
"b1602"	"nadh"	"THD2"
"b1603"	"nadh"	"THD2"
"b1602"	"nadp"	"THD2"
"b1603"	"nadp"	"THD2"
