"node1","node2","Uni_N1","Uni_N2"
"eco:b1009","eco:b1011","P75895","P75897"
"eco:b1008","eco:b1011","P75894","P75897"
"eco:b1008","eco:b1012","P75894","P75898"
"eco:b1011","eco:b1012","P75897","P75898"
"eco:b1009","eco:b1012","P75895","P75898"
"eco:b1010","eco:b1012","P0AFQ5","P75898"
"eco:b0429","eco:b1014","P0ABJ6","P09546"
"eco:b0432","eco:b1014","P0ABJ1","P09546"
"eco:b0431","eco:b1014","P0ABI8","P09546"
"eco:b0430","eco:b1014","P0ABJ3","P09546"
"eco:b0032","eco:b1062","P0A6F1","P05020"
"eco:b0171","eco:b1062","P0A7E9","P05020"
"eco:b0945","eco:b1062","P0A7E1","P05020"
"eco:b0033","eco:b1062","P00968","P05020"
"eco:b0849","eco:b1064","P68688","P0AC59"
"eco:b0775","eco:b1091","P12996","P0A6R0"
"eco:b0777","eco:b1091","P12999","P0A6R0"
"eco:b0776","eco:b1091","P12998","P0A6R0"
"eco:b0778","eco:b1091","P13000","P0A6R0"
"eco:b0180","eco:b1091","P0A6Q6","P0A6R0"
"eco:b0185","eco:b1091","P0ABD5","P0A6R0"
"eco:b0774","eco:b1091","P12995","P0A6R0"
"eco:b0185","eco:b1092","P0ABD5","P0AAI9"
"eco:b1091","eco:b1092","P0A6R0","P0AAI9"
"eco:b0776","eco:b1093","P12998","P0AEK2"
"eco:b0180","eco:b1093","P0A6Q6","P0AEK2"
"eco:b0774","eco:b1093","P12995","P0AEK2"
"eco:b0775","eco:b1093","P12996","P0AEK2"
"eco:b0954","eco:b1093","P0A6Q3","P0AEK2"
"eco:b0494","eco:b1093","P0ADA1","P0AEK2"
"eco:b1091","eco:b1093","P0A6R0","P0AEK2"
"eco:b0777","eco:b1093","P12999","P0AEK2"
"eco:b0778","eco:b1093","P13000","P0AEK2"
"eco:b0775","eco:b1094","P12996","P0A6A8"
"eco:b0179","eco:b1094","P21645","P0A6A8"
"eco:b0954","eco:b1094","P0A6Q3","P0A6A8"
"eco:b0175","eco:b1094","P0ABG1","P0A6A8"
"eco:b0630","eco:b1094","P60720","P0A6A8"
"eco:b0180","eco:b1094","P0A6Q6","P0A6A8"
"eco:b0789","eco:b1094","P0AA84","P0A6A8"
"eco:b0494","eco:b1094","P0ADA1","P0A6A8"
"eco:b0404","eco:b1094","P21515","P0A6A8"
"eco:b0778","eco:b1094","P13000","P0A6A8"
"eco:b0777","eco:b1094","P12999","P0A6A8"
"eco:b0182","eco:b1094","P10441","P0A6A8"
"eco:b1091","eco:b1094","P0A6R0","P0A6A8"
"eco:b1093","eco:b1094","P0AEK2","P0A6A8"
"eco:b0915","eco:b1094","P27300","P0A6A8"
"eco:b0628","eco:b1094","P60716","P0A6A8"
"eco:b0181","eco:b1094","P0A722","P0A6A8"
"eco:b1054","eco:b1094","P0ACV0","P0A6A8"
"eco:b0727","eco:b1094","P0AFG6","P0A6A8"
"eco:b0115","eco:b1094","P06959","P0A6A8"
"eco:b1092","eco:b1094","P0AAI9","P0A6A8"
"eco:b0524","eco:b1094","P43341","P0A6A8"
"eco:b0096","eco:b1094","P0A725","P0A6A8"
"eco:b0418","eco:b1094","P18200","P0A6A8"
"eco:b0776","eco:b1094","P12998","P0A6A8"
"eco:b0185","eco:b1094","P0ABD5","P0A6A8"
"eco:b0774","eco:b1094","P12995","P0A6A8"
"eco:b0494","eco:b1095","P0ADA1","P0AAI5"
"eco:b0180","eco:b1095","P0A6Q6","P0AAI5"
"eco:b1091","eco:b1095","P0A6R0","P0AAI5"
"eco:b0954","eco:b1095","P0A6Q3","P0AAI5"
"eco:b1094","eco:b1095","P0A6A8","P0AAI5"
"eco:b1093","eco:b1095","P0AEK2","P0AAI5"
"eco:b0684","eco:b1098","P61949","P0A720"
"eco:b0417","eco:b1106","P0AGG0","P75948"
