"N1","N2"
"P52086","P36561"
"P0A9H5","P36561"
"P36562","P36561"
"P60757","P06988"
"P60757","P06986"
"P06988","P06986"
"P60757","P06987"
"P06988","P06987"
"P06986","P06987"
"P60757","P60595"
"P06988","P60595"
"P06986","P60595"
"P06987","P60595"
"P60757","P10371"
"P06988","P10371"
"P06986","P10371"
"P06987","P10371"
"P60595","P10371"
"P60757","P60664"
"P06988","P60664"
"P06986","P60664"
"P06987","P60664"
"P60595","P60664"
"P10371","P60664"
"P0A6T3","P76373"
"P09148","P76373"
"P09147","P76373"
"P0AEP3","P76373"
"P00946","P76373"
"P0A870","P00350"
"P52697","P00350"
"P0AC53","P00350"
"P37747","P37745"
"P37747","P37744"
"P37745","P37744"
"P37747","P37760"
"P37745","P37760"
"P37744","P37760"
"P37747","P37759"
"P37745","P37759"
"P37744","P37759"
"P37760","P37759"
"P0A6T3","P24175"
"P09148","P24175"
"P09147","P24175"
"P0AEP3","P24175"
"P00946","P24175"
"P76373","P24175"
"P0A6T3","P24174"
"P09148","P24174"
"P09147","P24174"
"P0AEP3","P24174"
"P00946","P24174"
"P76373","P24174"
"P24175","P24174"
"P0A6T3","P32055"
"P09148","P32055"
"P09147","P32055"
"P0AEP3","P32055"
"P00946","P32055"
"P76373","P32055"
"P24175","P32055"
"P24174","P32055"
"P0A6T3","P0AC88"
"P09148","P0AC88"
"P09147","P0AC88"
"P0AEP3","P0AC88"
"P00946","P0AC88"
"P76373","P0AC88"
"P24175","P0AC88"
"P24174","P0AC88"
"P32055","P0AC88"
"P61949","P28248"
"P0A720","P28248"
"P25524","P0A8F4"
"P0A6I0","P0A8F4"
"P06999","P0A9S3"
"P06999","P0C8J8"
"P0A9S3","P0C8J8"
"P06999","P0C8J6"
"P0A9S3","P0C8J6"
"P0C8J8","P0C8J6"
"P62707","P0A991"
"P21829","P0A991"
"P26616","P0A991"
"P0AD61","P0A991"
"P23538","P0A991"
"P06999","P0A991"
"P0A9B2","P0A991"
"P21599","P0A991"
"P0AGG0","P76422"
"P0AGG0","P76423"
"P76422","P76423"
"P00956","P00959"
"P16659","P00959"
"P21888","P00959"
"P07813","P00959"
"P00962","P00959"
"P0A8L1","P00959"
"P0A8M0","P00959"
"P0AGJ9","P00959"
"P07395","P00959"
"P08312","P00959"
"P0A8M3","P00959"
"P21889","P00959"
"P11875","P00959"
"P0AC84","P06149"
"P0AC81","P06149"
"P31658","P06149"
"P22564","P0ABF6"
"P25524","P0ABF6"
"P77580","P0ABF6"
"P41409","P0ABF6"
"P0A6I0","P0ABF6"
"P23331","P0ABF6"
"P0A9Q7","P0ABF6"
"P0A8F4","P0ABF6"
"P26281","P0A6T5"
"P77756","P0A6T5"
"P0AFC0","P0A6T5"
"P0AF28","P31802"
"P0AFA2","P31802"
"P0A9P0","P33940"
"P36683","P33940"
"P0ABH7","P33940"
"P69054","P33940"
"P0AC44","P33940"
"P0AC41","P33940"
"P07014","P33940"
"P0AFG3","P33940"
"P0AFG6","P33940"
"P0A836","P33940"
"P0AGE9","P33940"
"P08200","P33940"
"P25516","P33940"
"P05042","P33940"
"P0AC33","P33940"
"P0DMC9","P39838"
"P0DMC9","P0DMC7"
"P39838","P0DMC7"
"P76458","P76459"
"P0A9Q7","P76461"
"P77455","P76461"
"P39451","P76461"
"P76458","P76461"
"P76459","P76461"
"P75728","P17993"
"P69441","P00452"
"P09029","P00452"
"P0AG18","P00452"
"P61949","P00452"
"P0A720","P00452"
"P0AB89","P00452"
"P33221","P00452"
"P28248","P00452"
"P69441","P69924"
"P09029","P69924"
"P0AG18","P69924"
"P61949","P69924"
"P0A720","P69924"
"P0AB89","P69924"
"P33221","P69924"
"P28248","P69924"
"P00452","P69924"
"P09394","P0A9C0"
"P09394","P13033"
"P0A9C0","P13033"
"P09394","P0A996"
"P0A9C0","P0A996"
"P13033","P0A996"
"P61949","P52006"
"P0A720","P52006"
"P28248","P52006"
"P00452","P52006"
"P69924","P52006"
"P77690","P77757"
"P77690","P77398"
"P77757","P77398"
"P0A8Z3","P37353"
"P0A8Z3","P29208"
"P37353","P29208"
"P0A8Z3","P0ABU0"
"P37353","P0ABU0"
"P29208","P0ABU0"
"P0A8Z3","P37355"
"P37353","P37355"
"P29208","P37355"
"P0ABU0","P37355"
"P0A8Z3","P17109"
"P37353","P17109"
"P29208","P17109"
"P0ABU0","P17109"
"P37355","P17109"
"P21513","P0A8V0"
"P30850","P0A8V0"
"P30014","P0A8V0"
"P09155","P0A8V0"
"P0ABJ6","P0AFF0"
"P0ABJ3","P0AFF0"
"P0ABI8","P0AFF0"
"P0ABJ1","P0AFF0"
"P0ABJ9","P0AFF0"
"P0ABK2","P0AFF0"
"P18775","P0AFF0"
"P18776","P0AFF0"
"P18777","P0AFF0"
"P26459","P0AFF0"
"P26458","P0AFF0"
"P33226","P0AFF0"
"P33225","P0AFF0"
"P09152","P0AFF0"
"P11349","P0AFF0"
"P11350","P0AFF0"
"P0AF32","P0AFF0"
"P19318","P0AFF0"
