node1 node2 experimental database textmining combined_score
b0028 b0169 468 0 0 467
b0029 b3414 0 0 408 408
b0029 b0490 188 0 0 188
b0029 b0156 0 0 373 373
b0029 b1208 0 0 377 376
b0029 b0051 0 0 249 248
b0029 b1204 505 0 0 505
b0030 b0414 189 0 0 189
b0030 b0086 179 0 0 179
b0031 b4382 277 0 0 277
b0031 b0181 0 0 228 227
b0031 b1190 228 0 0 227
b0031 b0131 0 0 286 286
b0032 b0436 457 0 0 457
b0032 b0033 960 900 0 995
b0032 b0014 0 0 286 286
b0032 b2181 457 0 0 457
b0032 b3197 215 0 0 215
b0033 b2312 0 0 286 286
b0033 b2873 0 0 158 157
b0033 b2069 78 0 120 153
b0033 b0512 0 0 158 157
b0033 b0032 960 900 0 995
b0033 b0014 78 0 120 153
b0033 b0650 78 0 120 153
b0033 b3642 64 0 286 303
b0033 b2699 164 0 0 163
b0033 b2526 78 0 120 153
b0033 b0436 457 0 0 457
b0034 b1976 156 0 0 155
b0035 b0126 312 0 0 311
b0035 b0339 312 0 0 311
b0036 b2606 456 0 0 456
b0036 b2844 269 152 68 371
b0036 b3296 399 0 0 398
b0036 b3026 215 0 0 215
b0036 b3315 458 0 0 457
b0036 b0545 274 0 0 274
b0036 b3230 459 0 0 459
b0036 b2567 395 0 0 394
b0036 b2342 269 152 68 371
b0036 b3636 459 0 0 459
b0036 b3301 458 0 0 457
b0036 b3637 458 0 0 457
b0036 b0773 274 0 0 274
b0036 b0039 129 0 84 168
b0036 b2052 242 0 0 241
b0036 b3185 458 0 0 457
b0036 b3294 459 0 0 459
b0036 b3983 457 0 45 459
b0036 b3341 455 0 0 455
b0036 b4003 215 0 0 215
b0036 b1129 215 0 0 215
b0036 b3656 214 0 0 214
b0036 b3210 555 0 133 597
b0036 b2224 269 152 68 371
b0036 b3313 423 0 0 422
b0036 b2067 261 0 0 261
b0036 b1773 188 0 0 188
b0036 b2255 242 0 0 241
b0036 b3309 214 0 0 214
b0036 b3908 283 0 44 285
b0036 b2370 555 0 135 598
b0036 b1882 246 0 0 245
b0036 b3308 284 0 0 284
b0036 b2542 186 0 66 207
b0036 b2556 215 0 0 215
b0036 b1285 261 0 67 281
b0036 b3137 188 0 0 188
b0036 b0993 555 0 67 567
b0036 b2096 188 0 0 188
b0036 b3404 215 0 0 215
b0036 b3807 243 0 0 242
b0036 b3986 243 0 0 242
b0036 b1609 215 0 0 215
b0036 b1276 515 0 0 515
b0036 b3878 214 0 0 214
b0036 b3305 446 0 0 446
b0036 b3231 458 0 0 457
b0036 b1559 256 0 0 256
b0036 b3320 458 0 0 457
b0036 b4399 215 0 65 234
b0036 b1489 261 0 0 261
b0036 b1397 269 152 68 371
b0036 b4187 129 0 84 168
b0036 b3310 446 0 0 446
b0036 b3321 416 0 0 416
b0036 b0221 129 0 84 168
b0036 b1716 330 0 0 330
b0036 b0868 242 0 0 241
b0036 b3306 454 0 0 454
b0036 b1386 251 0 0 250
b0036 b2185 157 0 0 156
b0036 b3298 452 0 0 452
b0036 b2218 555 0 67 567
b0036 b1089 387 0 0 386
b0036 b4200 456 0 0 456
b0036 b2609 459 0 0 459
b0036 b3911 215 0 0 215
b0036 b0771 270 0 0 270
b0036 b2925 188 0 0 188
b0036 b3186 367 0 0 367
b0036 b3297 405 0 0 405
b0036 b3072 261 0 65 279
b0036 b1235 246 0 0 245
b0036 b3529 261 0 0 261
b0036 b3619 242 0 0 241
b0036 b1778 243 0 0 242
b0036 b3307 452 0 0 452
b0036 b3303 459 0 0 459
b0036 b0169 455 0 68 470
b0036 b3319 457 0 0 457
b0036 b4112 215 0 0 215
b0036 b3299 348 0 0 347
b0036 b3311 455 0 0 455
b0036 b2786 555 0 67 567
b0036 b3342 446 0 0 446
b0036 b3317 455 0 0 455
b0036 b2016 242 0 0 241
b0036 b1000 256 0 0 256
